Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Рейтинг,Количество отзывов,Телефон 1,Телефон 2,Телефон 3,E-mail 1,E-mail 2,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,ВКонтакте,WhatsApp 1,WhatsApp 2,Viber,Telegram 1,Telegram 2,YouTube,Широта,Долгота,2GIS URL,Тип
La Famiglia,ресторан,Рестораны,"Федосеевская улица, 1",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,3.7,217,89395059905,,,,,,,,https://vk.com/kremlinnab,,,,https://t.me/+79395059905,,,55.802299,49.110386,https://2gis.com/firm/70000001021322408,branch
Lafa family,семейный ресторан,Рестораны; Кафе; Доставка еды,"улица Рихарда Зорге, 70",1 этаж,420139,Горки-3 м-н,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-24:00; Сб: 11:00-24:00; Вс: 11:00-24:00,+03:00,4.6,641,89506664052,,,lafagorki@yandex.ru,,,,,,https://wa.me/79506664052,,,https://t.me/+79506664052,,,55.746818,49.212978,https://2gis.com/firm/70000001035244774,branch
Lafa Lounge,рестоклуб,Рестораны; Кафе; Доставка еды; Бары; Банкетные залы; Ночные клубы,"Чистопольская улица, 33в",2 этаж,420124,66-й квартал,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-02:00; Сб: 12:00-02:00; Вс: 12:00-24:00,+03:00,4.9,2364,89869030646,,,,,http://t.me/reservedlafa,,,https://vk.com/lafalounge,https://wa.me/79869030646,,,https://t.me/+79869030646,,,55.819709,49.12227,https://2gis.com/firm/70000001052509734,branch
Level Kitchen&Bar,ресто-клуб,Рестораны; Бары; Кафе; Караоке-залы; Ночные клубы; Банкетные залы,"Кремлёвская улица, 21",1-2 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-23:00,+03:00,4.9,1980,89656174444,,,v1151832@mail.ru,,http://lvlkzn.ru,,,https://vk.com/levelkzn116,https://wa.me/79656174444,,,https://t.me/+79656174444,,,55.793413,49.116609,https://2gis.com/firm/70000001038218003,branch
Lianel,ресторан,Рестораны,"улица Мусина, 1",1 этаж,420124,Берег жилой комплекс,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-01:00; Сб: 10:00-01:00; Вс: 10:00-23:00,+03:00,4.7,198,89872250606,,,,,http://lianel.rest,,,,,,,https://t.me/+79872250606,,,55.816923,49.119551,https://2gis.com/firm/70000001090654973,branch
Love.ashe,ресторан кавказской кухни,Рестораны; Доставка еды; Кафе,"улица Горького, 8",1 этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,349,88432122600,,,,,http://iloveloveashe.ru,,,https://vk.com/love.ashekzn,https://wa.me/79179205534,,,https://t.me/+79179205534,,,55.793875,49.12887,https://2gis.com/firm/70000001064345643,branch
Love.ashe,ресторан кавказской кухни,Рестораны; Доставка еды; Кафе,"улица Габдуллы Кариева, 3а",2 этаж,420081,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,637,88432122600,,,,,http://iloveloveashe.ru,,,https://vk.com/love.ashekzn,https://wa.me/79872152085,,,https://t.me/+79872152085,,,55.78569,49.183166,https://2gis.com/firm/70000001033375518,branch
Mango,,Рестораны; Караоке-залы; Кафе,"улица Фрунзе, 1",,420033,,Кировский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-22:00,+03:00,5.0,45,88432126919,,,,,http://mangorest.ru/?utm_source=2gismap,http://t.me/mangorest.ru,,,,,,https://t.me/restmango,,,55.825622,49.04345,https://2gis.com/firm/70000001104986896,branch
Mano,ресторан,Рестораны,"Чистопольская улица, 47а",1 этаж,420124,66-й квартал,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,4.3,17,88435905050,,,,,http://manokazan.ru,,,https://vk.com/kazanmano,,,,,,,55.819702,49.127033,https://2gis.com/firm/70000001065103493,branch
Maram,ресторан,Рестораны,"проспект Ибрагимова, 56",3 этаж,420066,,Московский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-23:00,+03:00,4.8,550,88435189363,,,,,http://maram.su,http://t.me/maram_rest,,,,,,,,,55.821276,49.093413,https://2gis.com/firm/70000001022530028,branch
Mars,ресторан,Рестораны; Банкетные залы; Бары; Кейтеринг,"Московская улица, 35",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:00-22:00; Вт: 07:00-22:00; Ср: 07:00-22:00; Чт: 07:00-22:00; Пт: 07:00-22:00; Сб: 07:00-22:00; Вс: 07:00-22:00,+03:00,4.6,234,89047144929,,,,,http://venerakazan.ru/restoran-mars,,,,https://wa.me/79047144929,,,https://t.me/+79047144929,,,55.789052,49.10827,https://2gis.com/firm/70000001029265881,branch
MATHILDE,,Рестораны; Кафе,"Московская улица, 24",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:30-23:00; Вс: 08:30-23:00,+03:00,4.7,701,88432475777,,,mathilde.kzn@gmail.com,,http://t.me/mathilde_kzn116,,,https://vk.com/mathildekzn,,,,,,,55.790241,49.106111,https://2gis.com/firm/70000001006498940,branch
Mellow beer&wine,гастробар,Рестораны; Бары; Доставка еды,"Профсоюзная улица, 10/14",,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.3,185,89586282213,89520386116,,,,http://mellowbar.ru,,,,https://wa.me/79520386116,,,https://t.me/+79520386116,,,55.792349,49.113453,https://2gis.com/firm/70000001029536600,branch
Milli,ресторан,Рестораны; Доставка еды; Кейтеринг; Бары,"Московская улица, 5",2 этаж,420202,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.6,159,89872380707 (служба бронирования),"89397370505 (банкеты, мероприятия)",,,,http://mirage-hotel.ru/restaurants/,,,https://vk.com/public204153567,https://wa.me/79872380707,,,https://t.me/Milli_Rest,,,55.793717,49.103069,https://2gis.com/firm/2956015536444841,branch
New Asia,ресторан,Рестораны,"улица Карла Маркса, 5",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.6,207,89179079888,89871819888,,,,http://newasiadlvry.ru,,,,https://wa.me/79871819888,,,,,,55.797557,49.111393,https://2gis.com/firm/70000001062977537,branch
New kitchen,гастробар,Рестораны,"Петербургская улица, 44",1 этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.9,820,89872974411,,,,,http://nk-gastrobar.ru/,,,,https://wa.me/79872974411,,,,,,55.782672,49.130139,https://2gis.com/firm/70000001034626238,branch
Okak67,,Рестораны,"Московская улица, 38",,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,,+03:00,,,89869035199,,,,,,,,,,,,,,,55.788252,49.10851,https://2gis.com/firm/70000001115380072,branch
Oko,ресторан,Рестораны; Банкетные залы,"улица Чернышевского, 21",,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.8,133,89662402211,,,,,http://oko.rest,,,https://vk.com/okokazan,https://wa.me/79662402211,,,https://t.me/+79662402211,,,55.791997,49.109238,https://2gis.com/firm/70000001103466926,branch
Olio,итальянское бистро,Рестораны; Кафе; Пиццерии,"Спартаковская улица, 23",1 этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+03:00,4.9,696,88432039353,89870009353,,,,http://olio-bistro.ru/,,,,https://wa.me/79673734373,,,https://t.me/olioitalian,https://t.me/oliobistro,,55.780058,49.12965,https://2gis.com/firm/70000001089381153,branch
Olio,итальянское бистро,Рестораны; Кафе; Пиццерии,"улица Сибгата Хакима, 51",1 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+03:00,4.9,1475,88432039353,89870009353,,,,http://olio-bistro.ru,,,,https://wa.me/79673734373,,,https://t.me/olioitalian,https://t.me/oliobistro,,55.817185,49.146959,https://2gis.com/firm/70000001075027029,branch
Osteria Mario,ресторан,Рестораны; Доставка еды,"проспект Победы, 141",1 этаж,420100,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.9,572,89656183987,,,,,http://osteriamario.ru,http://t.me/tigrusholding,,https://vk.com/osteriamario,https://wa.me/79656183987,,,,,,55.780788,49.212464,https://2gis.com/firm/70000001030752923,branch
P.Love,ресторан,Рестораны; Кафе; Доставка еды,"улица Ленина, 59а",,422542,,,Зеленодольск,Зеленодольский район,Республика Татарстан,Россия,Пн: 11:00-23:00; Вт: 11:00-23:00; Ср: 11:00-23:00; Чт: 11:00-23:00; Пт: 11:00-23:00; Сб: 11:00-23:00; Вс: 11:00-23:00,+03:00,4.4,170,88432122084,,,iloveplove@mail.ru,,http://iloveplove.ru,,,https://vk.com/iloveplove,https://wa.me/79172602252,,,https://t.me/+79172602252,,,55.8445,48.524986,https://2gis.com/firm/70000001037425517,branch
P.Love,ресторан,Рестораны; Кафе; Доставка еды,"проспект Победы, 91",2 этаж,420140,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.1,859,88432122085 (доп.4),,,iloveplove@mail.ru,,http://iloveplove.ru,,,https://vk.com/iloveplove,https://wa.me/79178703537,,,https://t.me/+79178703537,,,55.769854,49.217578,https://2gis.com/firm/70000001031127248,branch
P.Love,ресторан,Рестораны; Кафе; Доставка еды,"проспект Ямашева, 97",4 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.2,822,88432122085 (доп.3),,,iloveplove@mail.ru,,http://iloveplove.ru,,,https://vk.com/iloveplove,https://wa.me/79172545817,,,https://t.me/+79172545817,,,55.825288,49.153189,https://2gis.com/firm/70000001026736040,branch
P.Love,ресторан,Рестораны; Кафе; Доставка еды,"улица Рихарда Зорге, 66",3 этаж,420138,Горки-3 м-н,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.6,859,88432122085 (доп.2),,,iloveplove@mail.ru,,http://iloveplove.ru,,,https://vk.com/iloveplove,https://wa.me/79172601352,,,https://t.me/+79172601352,,,55.7481,49.210616,https://2gis.com/firm/70000001017489879,branch
P.var,ресторан,Рестораны; Бары; Доставка еды,"Московская улица, 5",1 этаж,420202,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:00-23:00; Вт: 07:00-23:00; Ср: 07:00-23:00; Чт: 07:00-23:00; Пт: 07:00-23:00; Сб: 07:00-23:00; Вс: 07:00-11:00,+03:00,4.0,88,89274640707 (служба бронирования),89397370505 (ресепшен отеля),,,,http://www.mirage-hotel.ru/restaurants,,,,https://wa.me/79397370505,,,,,,55.794114,49.103302,https://2gis.com/firm/2956015536445544,branch
Pakhlava,кафе халяль,Рестораны; Доставка еды,"улица Амирхана Еники, 8",цокольный этаж,420097,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-23:00; Сб: 10:00-23:00; Вс: 10:00-23:00,+03:00,4.6,159,89172749604,,,,,http://menupakhlava.clients.site,,,,https://wa.me/79172749604,,,https://t.me/pakhlavakzn,,,55.782794,49.153158,https://2gis.com/firm/70000001082580216,branch
Pepperoni,ресторан,Рестораны; Кафе,"улица Кул Гали, 32",1 этаж,420129,Алтан м-н,Приволжский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-22:00; Вт: 11:00-22:00; Ср: 11:00-22:00; Чт: 11:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.9,211,88432160363,89063259160 (отдел брони),,,,http://pepe-roni.ru,,,https://vk.com/pepperonirest,https://wa.me/79063259160,,,https://t.me/+79063259160,,,55.750234,49.244171,https://2gis.com/firm/70000001100214739,branch
Pera,турецкий халяль-ресторан,Рестораны,"Московская улица, 36",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,4.5,337,89397469460,,,,,,,,,https://wa.me/79397469460,,,https://t.me/pera_kazan,,,55.788561,49.108138,https://2gis.com/firm/70000001088777186,branch
Petzold,ресторан-пивоварня,Рестораны; Бары; Доставка еды,"Чистопольская улица, 40",1 этаж,420124,Магеллан жилой комплекс,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-24:00,+03:00,4.9,485,88432250295,,,,,http://www.petzold.ru,,,,https://wa.me/79872250295,,,https://t.me/petzold_brewpub,,,55.817859,49.122902,https://2gis.com/firm/2956015537219866,branch
PH,бар-ресторан,Рестораны; Бары; Доставка еды,"улица Чернышевского, 27а",1 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-01:00; Сб: 11:00-01:00; Вс: 11:00-24:00,+03:00,4.4,115,88432923001,89656182433,,ph.restoran@yandex.ru,,http://phbar.ru,,,,https://wa.me/79656182433,,,,,,55.790776,49.107329,https://2gis.com/firm/70000001032207934,branch
Picasso,ресторан,Рестораны; Доставка еды; Банкетные залы,"Чистопольская улица, 20а",1 этаж,420124,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.7,113,88435188555,89655973388,,,,http://restoran-picasso.ru,,,,https://wa.me/79655973388,,,,,,55.817913,49.11113,https://2gis.com/firm/2956015536474425,branch
Porto maltese,ресторан,Рестораны; Доставка еды,"Подлужная улица, 17",1 этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-23:00; Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-23:00; Сб: 12:00-23:00; Вс: 12:00-23:00,+03:00,4.7,42,88432261255,,,,,http://porto-kzn.ru,,,https://vk.com/portomaltese_kazan,https://wa.me/79872261255,,,,,,55.801255,49.137085,https://2gis.com/firm/2956015536474429,branch
Sakura by tasigo,ресторан паназиатской кухни,Рестораны; Суши-бары; Доставка еды,"улица Калинина, 3а",2 этаж,420043,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 18:00-01:00; Вт: 18:00-01:00; Ср: 18:00-01:00; Чт: 18:00-01:00; Пт: 18:00-03:00; Сб: 18:00-03:00; Вс: 18:00-01:00,+03:00,4.4,87,89179200404,,,,,http://kazanpalace.com/restaurants-and-bars/sakura-by-tasigo/,,,https://vk.com/sakurabytasigo,https://wa.me/79179200404,,,https://t.me/sakurabytasigo,,,55.782288,49.136825,https://2gis.com/firm/70000001034450656,branch
Sea Salt,бистро,Рестораны,"улица Сибгата Хакима, 62",1 этаж,421001,,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-23:00; Вт: 10:00-23:00; Ср: 10:00-23:00; Чт: 10:00-23:00; Пт: 10:00-24:00; Сб: 10:00-24:00; Вс: 10:00-24:00,+03:00,4.9,170,88432555188,,,,,,,,,https://wa.me/79390791189,,,,,,55.815597,49.143194,https://2gis.com/firm/70000001110108539,branch
Shab lounge,ресторан,Рестораны; Доставка еды; Бары,"улица Туфана Миннуллина, 14/56",,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-02:00; Вт: 12:00-02:00; Ср: 12:00-02:00; Чт: 12:00-02:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-02:00,+03:00,4.8,2925,89003240507,88432650808,,,,http://t.me/shablounge,,,https://vk.com/shablounge,https://wa.me/79003240507,,,https://t.me/shabkazan,,,55.779656,49.135118,https://2gis.com/firm/70000001021002961,branch
Smoky people,ресторан,Рестораны; Бары; Доставка еды,"Меридианная улица, 2",1 этаж,420124,Берег жилой комплекс,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-04:00; Сб: 11:00-04:00; Вс: 11:00-01:00,+03:00,4.9,1055,88432122232,,,smokyizakaya@yandex.ru,,http://smokypeople-kzn.ru,,,https://vk.com/smkpeoplekzn,https://wa.me/79870073421,,,https://t.me/smokypeoplekzn,,,55.816922,49.116664,https://2gis.com/firm/70000001041155904,branch
Sorry мама,рест-лаундж,Рестораны; Бары,"улица Фатыха Амирхана, 21г",2 этаж,420126,58-й квартал,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-01:00; Вт: 11:00-01:00; Ср: 11:00-01:00; Чт: 11:00-01:00; Пт: 11:00-02:00; Сб: 11:00-02:00; Вс: 11:00-01:00,+03:00,4.7,2322,88432033303,,,,,http://sorrymama-lounge.ru,,,https://vk.com/sorrymama21,https://wa.me/79276740450,,,,,,55.824949,49.132994,https://2gis.com/firm/70000001034900657,branch
Spaten,,Рестораны,"Аэропорт, терминал 1А",1 этаж; напротив стоек регистрации международных рейсов,420017,,,,Лаишевский район,Республика Татарстан,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,4.6,21,89600474376,,,,,http://dnkfood.ru,,,,,,,,,,55.60757,49.300864,https://2gis.com/firm/70000001104323685,branch
Terra et Silva,ресторан,Рестораны,"Подлужная улица, 56",1 этаж,420015,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-24:00; Сб: 09:00-24:00; Вс: 09:00-23:00,+03:00,4.6,217,89874191778,89664456158,,,,http://clck.ru/3Rbesy,,,,https://wa.me/79874191778,,,https://t.me/+79874191778,,,55.802548,49.146038,https://2gis.com/firm/70000001069413188,branch
The Jungle,ресторан-театр,Рестораны; Бары; Ночные клубы; Караоке-залы; Аренда концертных площадок; Банкетные залы,"Спартаковская улица, 2 к1",1 этаж,420107,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 18:00-04:00; Вт: 18:00-04:00; Ср: 18:00-04:00; Чт: 18:00-04:00; Пт: 18:00-04:00; Сб: 18:00-04:00; Вс: 18:00-04:00,+03:00,4.8,1185,89600838419,,,thejunglekzn@yandex.ru,,http://www.junglekzn.ru,,,https://vk.com/public208501881,,,,,,,55.780779,49.127704,https://2gis.com/firm/70000001052510668,branch
TNG,лаундж-бар,Рестораны; Бары; Центры паровых коктейлей,"Театральная улица, 1/29",2 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-01:00; Вт: 12:00-01:00; Ср: 12:00-01:00; Чт: 12:00-01:00; Пт: 12:00-02:00; Сб: 12:00-02:00; Вс: 12:00-01:00,+03:00,4.9,1034,89310098521,,,tng080419@gmail.com,,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Fvk.com%2Ftangierslounge.kazan&back=https%3A%2F%2F2gis.ru%2Fkazan%2Ffirm%2F70000001039850544%3Fm%3D49.123444%252C55.794776%252F16&mode=0,http://info2gis.tilda.ws/proxy18?target=https%3A%2F%2Ft.me%2Ftangiers_kazan&back=https%3A%2F%2F2gis.ru%2Fkazan%2Ffirm%2F70000001039850544%3Fm%3D49.123444%252C55.794776%252F16&mode=0,,,https://wa.me/79872177771,,,,,,55.794776,49.123444,https://2gis.com/firm/70000001039850544,branch
Topaz,ресторан,Рестораны,"улица Калинина, 3Б",1 этаж,420043,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 07:00-10:30; Вт: 07:00-10:30; Ср: 07:00-10:30; Чт: 07:00-10:30; Пт: 07:00-10:30; Сб: 07:00-11:00; Вс: 07:00-11:00,+03:00,3.8,4,88432120101,,,,,http://kazanpalace.com,,,,,,,,,,55.782637,49.137676,https://2gis.com/firm/70000001040193009,branch
Triada,лаундж-бар,Рестораны; Бары; Центры паровых коктейлей,"Профсоюзная улица, 34",1 этаж; вход в арку; стеклянная дверь справа,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 15:00-02:00; Вт: 15:00-02:00; Ср: 15:00-02:00; Чт: 15:00-02:00; Пт: 15:00-03:00; Сб: 15:00-03:00; Вс: 15:00-02:00,+03:00,4.9,193,89033050990,,,,,http://info2gis.tilda.ws/proxy18?target=app.triadabar.ru%2F%3Fref%3D2gis&back=https%3A%2F%2F2gis.ru%2Fkazan%2Ffirm%2F70000001087732212&mode=0,http://app.triadabar.ru/?ref=2gis,,,,,,,,,55.78993,49.118457,https://2gis.com/firm/70000001087732212,branch
Van Gogh,панорамный ресторан,Рестораны; Бары; Банкетные залы,"проспект Ибрагимова, 56а",3 этаж,420066,,Московский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 12:00-24:00; Вт: 12:00-24:00; Ср: 12:00-24:00; Чт: 12:00-24:00; Пт: 12:00-24:00; Сб: 12:00-24:00; Вс: 12:00-24:00,+03:00,4.9,9483,89047645555,,,,,http://vangogh-kazan.ru,,,https://vk.com/vangoghrest,https://wa.me/79047645555,,,https://t.me/vangoghrestt,,,55.820577,49.095699,https://2gis.com/firm/70000001028085383,branch
Vartaziya,ресторан,Рестораны; Бары; Банкетные залы; Доставка еды,"Чистопольская улица, 40",1 этаж,420124,Магеллан жилой комплекс,Ново-Савиновский район,Казань,Казань городской округ,Республика Татарстан,Россия,Вт: 12:00-23:00; Ср: 12:00-23:00; Чт: 12:00-23:00; Пт: 12:00-01:00; Сб: 12:00-01:00; Вс: 12:00-23:00,+03:00,4.9,514,89871889737,88432079999,,vartazia@mail.ru,vartaziya@yandex.ru,http://vartaziya.ru,http://access.clientomer.ru/feedback/843843-1/?utm_source=2gisgeo,,https://vk.com/vartazia,https://wa.me/79871889737,,,https://t.me/vartaziya_admin,,,55.81813,49.122903,https://2gis.com/firm/70000001056017410,branch
Vasilchuki chaihona №1,ресторан,Рестораны,"проспект Победы, 141",1 этаж,420100,,Советский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,4.8,626,88435280888,,,marketing@resproject.ru,,http://chaihona.ru/kazan,,,https://vk.com/chaihona1kzn,,,,https://t.me/vasilchuki_tg,,,55.780537,49.212452,https://2gis.com/firm/70000001031122195,branch
Vasilchuki chaihona №1,ресторан,Рестораны; Доставка еды,"Московская улица, 20",4 этаж,420111,,Вахитовский район,Казань,Казань городской округ,Республика Татарстан,Россия,Пн: 11:00-24:00; Вт: 11:00-24:00; Ср: 11:00-24:00; Чт: 11:00-24:00; Пт: 11:00-03:00; Сб: 11:00-03:00; Вс: 11:00-24:00,+03:00,4.7,895,88432345555,,,marketing@resproject.ru,,http://chaihona.ru/kazan,,,https://vk.com/chaihona1kzn,,,,https://t.me/vasilchuki_tg,,,55.791601,49.104149,https://2gis.com/firm/70000001027921436,branch
